customer_id,bank_id,first_name,last_name,account_no,account_type,phone
2,38,Swati,Yadav,7458226548,Saving,9299844390
3,44,Deepa,Kulkarni,3190928449,Current,9349467813
4,9,Arjun,Kulkarni,7787741170,Saving,9516953367
5,19,Arjun,Pandey,5503817092,Current,9289104615
6,81,Deepa,Das,8170144736,Saving,9309129477
7,94,Suresh,Pandey,8103739943,Current,9775603627
8,76,Vijay,Yadav,3692818237,Saving,9181054571
9,71,Rohan,Chauhan,4727673390,Current,9863104266
10,60,Meena,Kulkarni,9297510005,Saving,9898569506
11,25,Suresh,Joshi,7586515267,Saving,9884418311
12,74,Arjun,Das,2485649295,Saving,9661217759
13,12,Meena,Bansal,8576643828,Current,9925809698
14,17,Arjun,Chauhan,9938695550,Saving,9104019029
15,42,Manish,Das,5878483961,Saving,9880923094
16,89,Rohan,Pandey,3211966811,Saving,9466092159
17,51,Manish,Nair,9118607221,Current,9426395485
18,81,Rohan,Kulkarni,6145690743,Saving,9436938696
19,31,Rohan,Nair,8857264331,Saving,9604453061
20,54,Rohan,Chauhan,1598916636,Saving,9140521721
21,24,Rohan,Pandey,4126690950,Saving,9501582368
22,16,Swati,Nair,9998129843,Saving,9967632186
23,30,Kavita,Kulkarni,5033013387,Current,9488055427
24,93,Arjun,Deshmukh,2540181775,Saving,9590559190
25,96,Arjun,Bhattacharya,8187378158,Saving,9592365784
26,5,Vijay,Pandey,9480243737,Current,9352518722
27,18,Kavita,Bansal,2233340512,Saving,9943120758
28,9,Rohan,Yadav,8423611305,Saving,9371827951
29,20,Rohan,Bansal,2920917965,Saving,9444460028
30,93,Vijay,Pandey,2896958362,Saving,9916534108
31,33,Swati,Pandey,6361319842,Saving,9879459354
32,28,Swati,Bhattacharya,4383250367,Saving,9494865912
33,7,Suresh,Bhattacharya,8196846359,Saving,9268834545
34,39,Deepa,Pandey,2392149574,Current,9359780020
35,83,Vijay,Chauhan,9764399357,Current,9482346698
36,1,Swati,Bansal,6697314583,Saving,9990166022
37,61,Suresh,Bansal,4898010444,Saving,9695707241
38,50,Manish,Bhattacharya,6848708622,Saving,9558187478
39,35,Deepa,Das,8301933726,Current,9249044748
40,89,Vijay,Pandey,5525010112,Saving,9139802307
41,20,Meena,Pandey,7935432202,Saving,9159757804
42,33,Vijay,Das,6027271565,Current,9530221321
43,72,Swati,Pandey,1436081119,Saving,9555093783
44,7,Arjun,Bansal,2598637039,Saving,9214519046
45,76,Swati,Bansal,1002673444,Saving,9526904189
46,62,Arjun,Das,1099930236,Saving,9202877390
47,35,Kavita,Das,6315320965,Saving,9289055638
48,49,Swati,Nair,4695591490,Saving,9355308992
49,56,Deepa,Yadav,3316575990,Saving,9199603474
50,37,Arjun,Bhattacharya,9972601255,Saving,9164661605
51,37,Suresh,Pandey,7649122037,Current,9541090241
52,23,Swati,Deshmukh,3158556415,Current,9463001263
53,61,Swati,Bansal,8793780298,Saving,9420984568
54,84,Deepa,Bhattacharya,9333681518,Current,9756399667
55,89,Kavita,Joshi,8061845621,Saving,9481450677
56,51,Deepa,Deshmukh,1999415980,Saving,9561052343
57,94,Kavita,Bansal,1316765054,Saving,9786581608
58,84,Kavita,Bhattacharya,7277845066,Saving,9559594957
59,73,Anjali,Kulkarni,4568860788,Saving,9578827482
60,32,Arjun,Kulkarni,6997595844,Saving,9822501281
61,78,Rohan,Bansal,9017472008,Saving,9605842886
62,91,Rohan,Bhattacharya,2275976823,Saving,9944441856
63,87,Rohan,Bhattacharya,7876485428,Saving,9566486171
64,35,Meena,Joshi,5197431542,Saving,9564957762
65,40,Rohan,Nair,8453333909,Saving,9187838023
66,78,Swati,Yadav,6038651011,Saving,9541918062
67,61,Arjun,Yadav,4991436430,Saving,9426772350
68,24,Deepa,Bansal,9037890640,Saving,9350673632
69,27,Deepa,Chauhan,5888470896,Saving,9581493310
70,90,Vijay,Deshmukh,8835885121,Saving,9473817597
71,38,Suresh,Bhattacharya,1673771341,Saving,9437187761
72,33,Vijay,Bansal,4262553489,Current,9281478560
73,30,Anjali,Yadav,7063002564,Saving,9294420491
