employee_id,bank_id,first_name,last_name,position,salary,phone
2,5,Priya,Verma,Branch Head,37633.52,9544468383
3,85,Ravi,Sharma,Branch Head,83707.43,9814222878
4,43,Pooja,Jain,Branch Head,68017.99,9898894898
5,6,Rajesh,Sharma,Branch Head,76399.76,9270823792
6,84,Ravi,Kumar,Assistant Manager,37472.49,9254846793
7,38,Pooja,Sharma,Assistant Manager,84147.33,9172666708
8,72,Sonal,Gupta,Cashier,39765.66,9108485675
9,21,Vikram,Mehta,Loan Officer,94580.64,9642002923
10,87,Rajesh,Patel,Officer,79914.21,9593857346
11,62,Pooja,Jain,Cashier,22668.73,9892374556
12,54,Pooja,Singh,Loan Officer,45342.73,9631403057
13,7,Anita,Reddy,Branch Head,91183.25,9869261921
14,7,Amit,Reddy,Assistant Manager,29771.18,9700093746
15,76,Ravi,Choudhary,Clerk,27728.87,9207734247
16,49,Neha,Kumar,Loan Officer,55884.75,9910930173
17,74,Amit,Gupta,Manager,85676.17,9433462184
18,83,Priya,Jain,Branch Head,91855.35,9891571846
19,13,Ravi,Singh,Clerk,76961.77,9372534430
20,82,Priya,Kumar,Manager,95018.2,9776679050
21,24,Neha,Mehta,Officer,24252.59,9590548967
22,42,Anita,Jain,Clerk,84663.56,9930257047
23,87,Priya,Kumar,Assistant Manager,62707.25,9105236066
24,62,Sunil,Gupta,Branch Head,51315.53,9621517595
25,54,Pooja,Reddy,Assistant Manager,83062.01,9727845097
26,43,Ravi,Sharma,Cashier,38381.04,9383989555
27,22,Sunil,Jain,Officer,49715.44,9312974442
28,44,Sunil,Kumar,Branch Head,36853.71,9127463441
29,41,Ravi,Choudhary,Loan Officer,96165.63,9791337772
30,7,Neha,Mehta,Manager,89992.12,9925167614
31,27,Rajesh,Reddy,Assistant Manager,91338.55,9372821408
32,9,Vikram,Verma,Manager,29394.75,9418043529
33,21,Vikram,Verma,Clerk,32083.97,9810094447
34,69,Priya,Verma,Clerk,61548.96,9910264852
35,99,Rajesh,Patel,Assistant Manager,23758.28,9767714609
36,3,Rajesh,Jain,Clerk,91886.69,9357522785
37,73,Anita,Singh,Loan Officer,72361.0,9756352050
38,76,Pooja,Jain,Officer,68838.54,9813499447
39,80,Ravi,Gupta,Cashier,58954.52,9962079118
40,87,Ravi,Choudhary,Cashier,27378.62,9795894899
41,90,Rajesh,Gupta,Branch Head,91286.03,9859726079
42,13,Pooja,Singh,Manager,58930.26,9888667556
